,Datetime,Open,High,Low,Close,Volume
312,2025-05-06 22:00:00,1775.8,1813.23,1775.65,1811.11,37938.0237
313,2025-05-06 23:00:00,1811.1,1819.41,1802.1,1817.0,26505.9542
314,2025-05-07 00:00:00,1817.0,1847.77,1814.59,1842.23,54043.4446
315,2025-05-07 01:00:00,1842.23,1850.0,1828.82,1832.71,34585.3715
316,2025-05-07 02:00:00,1832.71,1835.17,1821.9,1824.94,22582.6008
317,2025-05-07 03:00:00,1824.95,1828.49,1817.2,1826.48,14765.9294
318,2025-05-07 04:00:00,1826.48,1833.41,1824.57,1828.63,11847.2511
319,2025-05-07 05:00:00,1828.62,1830.55,1825.6,1828.21,6695.4119
320,2025-05-07 06:00:00,1828.21,1834.38,1826.16,1830.61,9854.3595
321,2025-05-07 07:00:00,1830.62,1838.43,1830.1,1838.24,9614.0243
322,2025-05-07 08:00:00,1838.23,1844.2,1834.53,1840.69,15972.0386
323,2025-05-07 09:00:00,1840.69,1845.33,1837.94,1844.04,10739.0758
324,2025-05-07 10:00:00,1844.03,1847.05,1830.51,1833.71,22220.1757
325,2025-05-07 11:00:00,1833.72,1837.11,1831.0,1836.35,7757.4396
326,2025-05-07 12:00:00,1836.35,1837.1,1826.88,1830.7,13298.0094
327,2025-05-07 13:00:00,1830.69,1835.81,1821.92,1828.9,30176.8385
328,2025-05-07 14:00:00,1828.9,1833.32,1816.79,1822.21,19395.0483
329,2025-05-07 15:00:00,1822.21,1825.6,1814.29,1817.31,15664.287
330,2025-05-07 16:00:00,1817.32,1818.01,1800.05,1811.77,17284.4744
331,2025-05-07 17:00:00,1811.77,1813.2,1788.84,1796.25,25498.4948
332,2025-05-07 18:00:00,1796.25,1816.98,1788.78,1806.43,40814.9723
333,2025-05-07 19:00:00,1806.44,1808.0,1787.01,1795.82,21713.2866
334,2025-05-07 20:00:00,1795.83,1801.1,1789.12,1798.18,9470.9408
335,2025-05-07 21:00:00,1798.18,1809.4,1796.33,1802.73,9655.8312
336,2025-05-07 22:00:00,1802.73,1821.56,1800.79,1817.12,22259.1635
337,2025-05-07 23:00:00,1817.11,1825.44,1808.29,1811.11,10261.6009
338,2025-05-08 00:00:00,1811.11,1828.29,1808.71,1827.13,14803.4633
339,2025-05-08 01:00:00,1827.12,1837.2,1820.0,1822.9,31640.2196
340,2025-05-08 02:00:00,1822.91,1847.75,1822.91,1841.56,36910.3797
341,2025-05-08 03:00:00,1841.56,1906.77,1839.0,1901.1,98950.7684
342,2025-05-08 04:00:00,1901.09,1916.59,1892.91,1893.81,68340.8939
343,2025-05-08 05:00:00,1893.81,1905.4,1892.2,1896.77,25052.1551
344,2025-05-08 06:00:00,1896.77,1912.35,1896.0,1911.29,19560.6078
345,2025-05-08 07:00:00,1911.29,1943.83,1908.37,1928.4,61124.0211
346,2025-05-08 08:00:00,1928.4,1947.0,1925.9,1934.98,51449.0671
347,2025-05-08 09:00:00,1934.98,1942.34,1929.81,1941.1,25534.3733
348,2025-05-08 10:00:00,1941.1,1968.72,1939.22,1961.01,51575.6717
